281 1.00647751e+02 4.08700000e-27 6.924E-09.06070.103 285.97450.620.000000 0 0 0 0 0 0 0 0 9 5 E 8 8 E 542220 5 4 2 3 1 0 1.52000000e+02 1.36000000e+02	865553_693387
281 1.05979756e+02 4.01100000e-26 1.005E-07.06920.102 373.94090.610.000000 0 0 0 0 0 0 0 0 10 4 E 9 7 E 642220 5 4 2 3 1 0 1.68000000e+02 1.52000000e+02	1056831_865552
281 1.09301637e+02 1.64500000e-26 4.117E-08.06410.101 365.93410.610.000000 0 0 0 0 0 0 0 0 10 5 E 9 8 E 542220 5 4 2 3 1 0 1.68000000e+02 1.52000000e+02	1056830_865551
281 1.03493656e+02 4.89800000e-28 1.821E-09.06520.103 479.92060.600.000000 0 0 0 0 0 0 0 0 11 2 E 10 4 E 642220 5 4 2 3 1 0 1.84000000e+02 1.68000000e+02	1267233_1056831
281 1.05030001e+02 2.34100000e-25 8.862E-07.06520.103 479.92060.600.000000 0 0 0 0 0 0 0 0 11 1 E 10 4 E 642220 5 4 2 3 1 0 1.84000000e+02 1.68000000e+02	1267234_1056831
281 1.08178542e+02 1.73800000e-25 6.671E-07.06690.103 475.23570.600.000000 0 0 0 0 0 0 0 0 11 2 E 10 5 E 642220 5 4 2 3 1 0 1.84000000e+02 1.68000000e+02	1267233_1056830
281 1.09714887e+02 9.63600000e-29 3.764E-10.06690.103 475.23570.600.000000 0 0 0 0 0 0 0 0 11 1 E 10 5 E 642220 5 4 2 3 1 0 1.84000000e+02 1.68000000e+02	1267234_1056830
281 1.14610094e+02 7.23700000e-26 2.808E-07.06840.100 462.63470.600.000000 0 0 0 0 0 0 0 0 11 4 E 10 7 E 642220 5 4 2 3 1 0 1.84000000e+02 1.68000000e+02	1267232_1056829
281 1.17913463e+02 3.76800000e-26 1.457E-07.06740.099 454.67880.600.000000 0 0 0 0 0 0 0 0 11 5 E 10 8 E 542220 5 4 2 3 1 0 1.84000000e+02 1.68000000e+02	1267231_1056828
281 1.24747699e+02 3.67300000e-27 1.389E-08.05470.096 435.33080.600.000000 0 0 0 0 0 0 0 0 11 7 E 10 10 E 442220 5 4 2 3 1 0 1.84000000e+02 1.68000000e+02	1267230_1056827
281 1.04449423e+02 4.43700000e-25 2.557E-06.05590.102 584.95060.590.000000 0 0 0 0 0 0 0 0 12 2 E 11 1 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496781_1267234
281 1.05974304e+02 9.98900000e-21 5.861E-02.05460.103 584.95060.590.000000 0 0 0 0 0 0 0 0 12 1 E 11 1 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496782_1267234
281 1.05985768e+02 9.85500000e-21 5.740E-02.05550.102 583.41430.590.000000 0 0 0 0 0 0 0 0 12 2 E 11 2 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496781_1267233
281 1.06031870e+02 9.29300000e-21 5.256E-02.05840.101 577.24480.590.000000 0 0 0 0 0 0 0 0 12 4 E 11 4 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496780_1267232
281 1.06066721e+02 8.84300000e-21 4.891E-02.05980.100 572.59230.590.000000 0 0 0 0 0 0 0 0 12 5 E 11 5 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496779_1267231
281 1.06160764e+02 7.51300000e-21 3.915E-02.06180.098 560.07850.590.000000 0 0 0 0 0 0 0 0 12 7 E 11 7 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496778_1267230
281 1.06220354e+02 6.58200000e-21 3.303E-02.06190.097 552.17800.590.000000 0 0 0 0 0 0 0 0 12 8 E 11 8 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496777_1267229
281 1.06365880e+02 3.98400000e-21 1.824E-02.05850.094 532.96510.590.000000 0 0 0 0 0 0 0 0 12 10 E 11 10 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496776_1267228
281 1.06452384e+02 2.20400000e-21 9.557E-03.05160.092 521.59240.590.000000 0 0 0 0 0 0 0 0 12 11 E 11 11 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496775_1267227
281 1.07510649e+02 3.97700000e-25 2.358E-06.05450.102 583.41430.590.000000 0 0 0 0 0 0 0 0 12 1 E 11 2 E 635430 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496782_1267233
281 1.12155266e+02 9.79400000e-28 5.939E-09.06190.101 577.24480.590.000000 0 0 0 0 0 0 0 0 12 2 E 11 4 E 632220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496781_1267232
281 1.13680147e+02 2.80500000e-25 1.730E-06.06190.101 577.24480.590.000000 0 0 0 0 0 0 0 0 12 1 E 11 4 E 632220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496782_1267232
281 1.16807782e+02 2.17700000e-25 1.358E-06.06370.100 572.59230.590.000000 0 0 0 0 0 0 0 0 12 2 E 11 5 E 632220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496781_1267231
281 1.18332663e+02 2.00600000e-28 1.272E-09.06370.100 572.59230.590.000000 0 0 0 0 0 0 0 0 12 1 E 11 5 E 632220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496782_1267231
281 1.23198104e+02 1.06100000e-25 6.661E-07.06610.098 560.07850.590.000000 0 0 0 0 0 0 0 0 12 4 E 11 7 E 532220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496780_1267230
281 1.26480997e+02 6.37900000e-26 3.985E-07.06640.097 552.17800.590.000000 0 0 0 0 0 0 0 0 12 5 E 11 8 E 532220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496779_1267229
281 1.33274200e+02 1.30700000e-26 7.954E-08.05850.094 532.96510.590.000000 0 0 0 0 0 0 0 0 12 7 E 11 10 E 432220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496778_1267228
281 1.36805950e+02 3.12400000e-27 1.861E-08.05160.092 521.59240.590.000000 0 0 0 0 0 0 0 0 12 8 E 11 11 E 432220 5 4 2 3 1 0 2.00000000e+02 1.84000000e+02	1496777_1267227
281 1.02475556e+02 4.41400000e-28 3.851E-09.05460.098 690.92490.580.000000 0 0 0 0 0 0 0 0 13 5 E 12 1 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745440_1496782
281 1.04000437e+02 5.06200000e-25 4.464E-06.05550.098 689.40000.580.000000 0 0 0 0 0 0 0 0 13 5 E 12 2 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745440_1496781
281 1.07056007e+02 5.07300000e-25 4.672E-06.05460.099 690.92490.580.000000 0 0 0 0 0 0 0 0 13 4 E 12 1 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745441_1496782
281 1.08580888e+02 1.88200000e-27 1.751E-08.05550.099 689.40000.580.000000 0 0 0 0 0 0 0 0 13 4 E 12 2 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745441_1496781
281 1.13130191e+02 4.56100000e-25 4.498E-06.05300.100 690.92490.580.000000 0 0 0 0 0 0 0 0 13 2 E 12 1 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745442_1496782
281 1.14642832e+02 7.42900000e-21 7.450E-02.05180.100 690.92490.580.000000 0 0 0 0 0 0 0 0 13 1 E 12 1 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745443_1496782
281 1.14655072e+02 7.35400000e-21 7.321E-02.05260.100 689.40000.580.000000 0 0 0 0 0 0 0 0 13 2 E 12 2 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745442_1496781
281 1.14704284e+02 7.03000000e-21 6.797E-02.05530.099 683.27670.580.000000 0 0 0 0 0 0 0 0 13 4 E 12 4 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745441_1496780
281 1.14741499e+02 6.77000000e-21 6.403E-02.05670.098 678.65900.580.000000 0 0 0 0 0 0 0 0 13 5 E 12 5 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745440_1496779
281 1.14841940e+02 6.00300000e-21 5.351E-02.05890.096 666.23930.580.000000 0 0 0 0 0 0 0 0 13 7 E 12 7 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745439_1496778
281 1.14905599e+02 5.46200000e-21 4.690E-02.05940.094 658.39830.580.000000 0 0 0 0 0 0 0 0 13 8 E 12 8 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745438_1496777
281 1.15061107e+02 3.94700000e-21 3.094E-02.05820.091 639.33100.580.000000 0 0 0 0 0 0 0 0 13 10 E 12 10 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745437_1496776
281 1.15153574e+02 2.90500000e-21 2.158E-02.05550.089 628.04480.580.000000 0 0 0 0 0 0 0 0 13 11 E 12 11 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745436_1496775
281 1.16167713e+02 4.12600000e-25 4.176E-06.05170.100 689.40000.580.000000 0 0 0 0 0 0 0 0 13 1 E 12 2 E 635430 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745443_1496781
281 1.20778468e+02 1.69900000e-27 1.753E-08.05860.099 683.27670.580.000000 0 0 0 0 0 0 0 0 13 2 E 12 4 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745442_1496780
281 1.22291109e+02 3.03300000e-25 3.179E-06.05860.099 683.27670.580.000000 0 0 0 0 0 0 0 0 13 1 E 12 4 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745443_1496780
281 1.25396133e+02 2.43400000e-25 2.575E-06.06030.098 678.65900.580.000000 0 0 0 0 0 0 0 0 13 2 E 12 5 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745442_1496779
281 1.26908775e+02 3.58600000e-28 3.853E-09.06030.098 678.65900.580.000000 0 0 0 0 0 0 0 0 13 1 E 12 5 E 632220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745443_1496779
281 1.31741624e+02 1.33000000e-25 1.411E-06.06330.096 666.23930.580.000000 0 0 0 0 0 0 0 0 13 4 E 12 7 E 532220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745441_1496778
281 1.35002142e+02 8.80100000e-26 9.277E-07.06420.094 658.39830.580.000000 0 0 0 0 0 0 0 0 13 5 E 12 8 E 532220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745440_1496777
281 1.41750260e+02 2.65800000e-26 2.721E-07.06350.091 639.33100.580.000000 0 0 0 0 0 0 0 0 13 7 E 12 10 E 432220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745439_1496776
281 1.45259165e+02 1.05100000e-26 1.052E-07.05550.089 628.04480.580.000000 0 0 0 0 0 0 0 0 13 8 E 12 11 E 432220 5 4 2 3 1 0 2.16000000e+02 2.00000000e+02	1745438_1496775
281 1.03455875e+02 4.05800000e-25 5.489E-06.05670.092 793.40050.570.000000 0 0 0 0 0 0 0 0 14 8 E 13 5 E 532220 5 4 2 3 1 0 2.32000000e+02 2.16000000e+02	2013223_1745440
281 1.06585217e+02 4.46300000e-25 6.403E-06.05530.093 797.98090.570.000000 0 0 0 0 0 0 0 0 14 7 E 13 4 E 532220 5 4 2 3 1 0 2.32000000e+02 2.16000000e+02	2013224_1745441
281 1.11211122e+02 6.77300000e-28 1.063E-08.05180.095 805.56780.570.000000 0 0 0 0 0 0 0 0 14 5 E 13 1 E 632220 5 4 2 3 1 0 2.32000000e+02 2.16000000e+02	2013225_1745443
281 1.12723763e+02 4.83800000e-25 7.665E-06.05260.095 804.05510.570.000000 0 0 0 0 0 0 0 0 14 5 E 13 2 E 632220 5 4 2 3 1 0 2.32000000e+02 2.16000000e+02	2013225_1745442
